emp_id,target_role_hint,text
E0051,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: numpy, apis, databases, fastapi, django. Built web apps using fastapi. strong communication."
E0052,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, css, redux. Built web apps using css. worked in a college project."
E0053,ML Engineer,"ML Engineer with 1 years experience. Skills: python, ml, scikit-learn, tensorflow. Built models using tensorflow. team player."
E0054,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, , html, css. Built models using html. participated in hackathons."
E0055,ML Engineer,"ML Engineer with 5 years experience. Skills: pandas, ml, scikit-learn, pytorch. Built apis using pytorch. passionate about learning."
E0056,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, excel, power bi. Built apis using power bi. worked in a college project."
E0057,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: numpy, apis, databases, docker, django. Built apis using numpy. quick learner."
E0058,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, css, typescript. Built apis using html. worked in a college project."
E0059,ML Engineer,"ML Engineer with 5 years experience. Skills: python, , scikit-learn, pytorch, tensorflow. Built pipelines using pytorch. participated in hackathons."
E0060,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, , html, css, typescript. Built web apps using javascript. participated in hackathons."
E0061,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: python, apis, db, django. Built models using python. quick learner."
E0062,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, apis, databases, fastapi. Built web apps using databases. worked in a college project."
E0063,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: ubuntu, iam, ci/cd, terraform, kubernetes. Built web apps using iam. participated in hackathons."
E0064,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, redux, typescript. Built web apps using html. handled csv and excel files."
E0065,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, nlp, tf. Built web apps using nlp. passionate about learning."
E0066,Data Analyst,"Data Analyst with 3 years experience. Skills: python, sql, excel, matplotlib, power bi. Built models using sql. strong communication."
E0067,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: , aws, ci/cd, terraform. Built dashboards using aws. team player."
E0068,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, redux, css. Built dashboards using css. team player."
E0069,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: ubuntu, aws, github actions, containers. Built models using ubuntu. quick learner."
E0070,Frontend Engineer (React),"Frontend Engineer (React) with 2 years experience. Skills: javascript, react, html, typescript, redux. Built dashboards using typescript. worked in a college project."
E0071,ML Engineer,"ML Engineer with 3 years experience. Skills: python, machine learning, , torch, tf-idf, tf. Built pipelines using torch. team player."
E0072,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: numpy, apis, databases, docker, django, fast api. Built web apps using fast api. quick learner."
E0073,ML Engineer,"ML Engineer with 4 years experience. Skills: numpy, ml, sklearn, pytorch. Built models using numpy. quick learner."
E0074,Data Analyst,"Data Analyst with 4 years experience. Skills: py, sql, vlookup, power bi. Built web apps using power bi. wrote unit tests."
E0075,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, typescript. Built web apps using typescript. participated in hackathons."
E0076,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: javascript, react, html, css, state mgmt, ts. Built apis using javascript. strong communication."
E0077,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, excel, plots, pandas. Built apis using plots. passionate about learning."
E0078,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, s3, ci/cd, terraform, kubernetes. Built web apps using terraform. wrote unit tests."
E0079,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, aws, ci/cd, kubernetes, docker. Built dashboards using ci/cd. participated in hackathons."
E0080,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, apis, databases, fastapi, docker, django. Built apis using fastapi. strong communication."
E0081,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, typescript, css. Built dashboards using css. quick learner."
E0082,ML Engineer,"ML Engineer with 5 years experience. Skills: , ml, scikit-learn, tensorflow, nlp, pytorch. Built models using nlp. strong communication."
E0083,Data Analyst,"Data Analyst with 3 years experience. Skills: python, sql, excel, dashboards. Built dashboards using sql. worked in a college project."
E0084,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: js, reactjs, html, css, redux. Built apis using html. participated in hackathons."
E0085,Data Analyst,"Data Analyst with 0 years experience. Skills: python, sql, excel, matplotlib, dax. Built apis using matplotlib. wrote unit tests."
E0086,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, aws, ci/cd, kubernetes. Built dashboards using kubernetes. passionate about learning."
E0087,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, , django. Built web apps using apis. wrote unit tests."
E0088,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, tensorflow, tf-idf, pytorch. Built web apps using tf-idf. quick learner."
E0089,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, excel, matplotlib, bi. Built dashboards using matplotlib. quick learner."
E0090,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: py, apis, databases, fastapi, docker. Built web apps using py. participated in hackathons."
E0091,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, , kubernetes. Built dashboards using . participated in hackathons."
E0092,ML Engineer,"ML Engineer with 4 years experience. Skills: py, ml, scikit-learn, nlp. Built pipelines using nlp. team player."
E0093,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, nlp, pytorch, tf. Built dashboards using scikit-learn. team player."
E0094,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: , aws, ci/cd, terraform, k8s, docker. Built apis using aws. quick learner."
E0095,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, , html, css. Built dashboards using . passionate about learning."
E0096,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: js, react, html, redux, typescript, css. Built pipelines using react. participated in hackathons."
E0097,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, , tensorflow, nlp, torch. Built dashboards using ml. handled csv and excel files."
E0098,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, aws, ci/cd, terraform. Built apis using terraform. team player."
E0099,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, excel, pandas. Built models using excel. quick learner."
E0100,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, databases, django, fastapi, docker. Built web apps using databases. wrote unit tests."
E0101,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, ci/cd, kubernetes. Built pipelines using ci/cd. worked in a college project."
E0102,ML Engineer,"ML Engineer with 5 years experience. Skills: , machine learning, scikit-learn, nlp, pytorch. Built apis using . worked in a college project."
E0103,Data Analyst,"Data Analyst with 3 years experience. Skills: python, sql, , pandas. Built pipelines using . participated in hackathons."
E0104,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: , reactjs, html, redux, typescript. Built pipelines using reactjs. team player."
E0105,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: numpy, apis, databases, fastapi, docker. Built dashboards using databases. worked in a college project."
E0106,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, aws, , docker, kubernetes. Built web apps using aws. strong communication."
E0107,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, typescript, redux. Built models using react. wrote unit tests."
E0108,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, ci/cd, containers. Built apis using containers. participated in hackathons."
E0109,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, , typescript, state mgmt, css. Built dashboards using css. strong communication."
E0110,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, db, django rest, docker. Built web apps using django rest. worked in a college project."
E0111,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, tf. Built models using tf. quick learner."
E0112,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, tensorflow, pytorch. Built models using tensorflow. handled csv and excel files."
E0113,ML Engineer,"ML Engineer with 0 years experience. Skills: python, , scikit-learn, pytorch, nlp, tensorflow. Built apis using pytorch. wrote unit tests."
E0114,Data Analyst,"Data Analyst with 4 years experience. Skills: , sql, excel, matplotlib, power bi. Built web apps using excel. wrote unit tests."
E0115,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, , nlp. Built apis using . participated in hackathons."
E0116,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, apis, databases, django, docker, fastapi. Built dashboards using databases. team player."
E0117,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, excel, matplotlib, power bi, pandas. Built apis using power bi. worked in a college project."
E0118,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: js, reactjs, html, state mgmt, css. Built models using js. wrote unit tests."
E0119,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, rdbms, django. Built pipelines using apis. worked in a college project."
E0120,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, sklearn, nlp, tf. Built apis using sklearn. team player."
E0121,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: javascript, react, html, redux. Built dashboards using redux. team player."
E0122,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, typescript, redux, css. Built pipelines using redux. worked in a college project."
E0123,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: pandas, apis, sql db, fastapi, django. Built models using sql db. strong communication."
E0124,ML Engineer,"ML Engineer with 4 years experience. Skills: py, ml, scikit-learn, pytorch. Built apis using py. worked in a college project."
E0125,ML Engineer,"ML Engineer with 1 years experience. Skills: python, ml, scikit-learn, tensorflow. Built web apps using tensorflow. team player."
E0126,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: shell, aws, ci/cd, k8s, docker, terraform. Built apis using docker. strong communication."
E0127,Data Analyst,"Data Analyst with 4 years experience. Skills: numpy, postgres, excel, power bi, plots. Built pipelines using plots. quick learner."
E0128,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: pandas, apis, databases, django rest. Built apis using django rest. team player."
E0129,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, redux, typescript. Built apis using redux. passionate about learning."
E0130,Data Analyst,"Data Analyst with 0 years experience. Skills: python, sql, excel, matplotlib, dataframes. Built dashboards using dataframes. handled csv and excel files."
E0131,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, endpoints, databases, fastapi, django. Built dashboards using fastapi. wrote unit tests."
E0132,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, ci/cd, k8s, terraform, docker. Built models using docker. participated in hackathons."
E0133,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, scikit-learn, nlp, pytorch, tensorflow. Built apis using pytorch. passionate about learning."
E0134,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, reactjs, html, css, redux, typescript. Built pipelines using redux. handled csv and excel files."
E0135,Data Analyst,"Data Analyst with 3 years experience. Skills: python, , excel, pandas, power bi. Built pipelines using pandas. participated in hackathons."
E0136,ML Engineer,"ML Engineer with 3 years experience. Skills: python, , scikit-learn, tf, pytorch, nlp. Built dashboards using scikit-learn. wrote unit tests."
E0137,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, reactjs, html, redux. Built models using reactjs. handled csv and excel files."
E0138,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: shell, aws, github actions, terraform, kubernetes, docker. Built apis using kubernetes. handled csv and excel files."
E0139,Data Analyst,"Data Analyst with 0 years experience. Skills: python, sql, pivot, power bi, matplotlib. Built dashboards using python. strong communication."
E0140,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, databases, django rest, docker. Built dashboards using docker. worked in a college project."
E0141,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: python, apis, databases, fast api, django rest. Built apis using apis. handled csv and excel files."
E0142,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, databases, fast api, docker. Built apis using databases. strong communication."
E0143,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, pytorch. Built web apps using scikit-learn. worked in a college project."
E0144,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, rdbms, fastapi, django. Built dashboards using python. strong communication."
E0145,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, typescript, redux, css. Built dashboards using react. strong communication."
E0146,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: py, apis, databases, containers, django, fastapi. Built pipelines using databases. wrote unit tests."
E0147,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: ubuntu, ec2, pipelines, kubernetes. Built apis using ubuntu. strong communication."
E0148,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: pandas, apis, databases, fastapi, django rest. Built dashboards using apis. team player."
E0149,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: python, apis, , docker. Built dashboards using docker. worked in a college project."
E0150,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, sklearn, pytorch. Built pipelines using sklearn. wrote unit tests."
E0151,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: pandas, , databases, django, docker, fastapi. Built dashboards using fastapi. handled csv and excel files."
E0152,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: ubuntu, aws, ci/cd, docker, terraform. Built pipelines using docker. handled csv and excel files."
E0153,Data Analyst,"Data Analyst with 3 years experience. Skills: numpy, sql, excel, matplotlib, pandas, dax. Built models using dax. strong communication."
E0154,Frontend Engineer (React),"Frontend Engineer (React) with 2 years experience. Skills: javascript, react, html, css, typescript. Built apis using javascript. strong communication."
E0155,Data Analyst,"Data Analyst with 3 years experience. Skills: python, joins, excel, pandas, bi, matplotlib. Built models using pandas. team player."
E0156,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, spreadsheets, plots, pandas. Built web apps using python. wrote unit tests."
E0157,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: , apis, databases, fast api, django, docker. Built apis using apis. wrote unit tests."
E0158,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, , rdbms, docker. Built  using python. worked in a college project."
E0159,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, aws, ci/cd, k8s, iac. Built pipelines using iac. handled csv and excel files."
E0160,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, spreadsheets, pandas. Built apis using python. team player."
E0161,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, , pytorch. Built models using python. quick learner."
E0162,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, redux, typescript. Built pipelines using javascript. quick learner."
E0163,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, databases, django. Built pipelines using apis. wrote unit tests."
E0164,Data Analyst,"Data Analyst with 5 years experience. Skills: pandas, sql, vlookup, matplotlib, power bi. Built models using sql. team player."
E0165,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: , apis, db, docker. Built pipelines using apis. wrote unit tests."
E0166,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, reactjs, html, css, redux. Built dashboards using html. quick learner."
E0167,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, ts. Built apis using html. team player."
E0168,ML Engineer,"ML Engineer with 4 years experience. Skills: python, ml, scikit-learn, nlp. Built apis using ml. passionate about learning."
E0169,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, pytorch. Built models using ml. team player."
E0170,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, excel, dashboards. Built pipelines using sql. worked in a college project."
E0171,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, excel, matplotlib, dax, pandas. Built apis using excel. handled csv and excel files."
E0172,ML Engineer,"ML Engineer with 5 years experience. Skills: py, ml, scikit-learn, text processing. Built pipelines using ml. strong communication."
E0173,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, spreadsheets, matplotlib, power bi, pandas. Built apis using spreadsheets. participated in hackathons."
E0174,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: numpy, apis, , django rest. Built pipelines using . wrote unit tests."
E0175,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, github actions, terraform. Built pipelines using github actions. worked in a college project."
E0176,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, pivot, matplotlib, dashboards. Built dashboards using matplotlib. quick learner."
E0177,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: python, apis, databases, django rest, docker, fastapi. Built dashboards using docker. participated in hackathons."
E0178,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, ci/cd, terraform. Built dashboards using linux. wrote unit tests."
E0179,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, excel, power bi. Built pipelines using python. worked in a college project."
E0180,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, css, state mgmt. Built dashboards using css. strong communication."
E0181,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, , html, css. Built web apps using javascript. strong communication."
E0182,Data Analyst,"Data Analyst with 1 years experience. Skills: python, my, excel, matplotlib, series, power bi. Built models using my. participated in hackathons."
E0183,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, ci/cd, containers, k8s. Built web apps using containers. participated in hackathons."
E0184,Data Analyst,"Data Analyst with 5 years experience. Skills: numpy, sql, excel, dashboards, charts. Built models using numpy. strong communication."
E0185,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, typescript. Built web apps using typescript. worked in a college project."
E0186,Data Analyst,"Data Analyst with 3 years experience. Skills: python, , excel, power bi, matplotlib. Built dashboards using . wrote unit tests."
E0187,ML Engineer,"ML Engineer with 4 years experience. Skills: python, ml, scikit-learn, text processing, tensorflow, torch. Built web apps using ml. passionate about learning."
E0188,Data Analyst,"Data Analyst with 5 years experience. Skills: pandas, mysql, spreadsheets, matplotlib. Built web apps using matplotlib. passionate about learning."
E0189,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, pipelines, terraform, kubernetes, docker. Built dashboards using kubernetes. strong communication."
E0190,Data Analyst,"Data Analyst with 2 years experience. Skills: , sql, excel, charts, pandas, power bi. Built web apps using charts. quick learner."
E0191,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, excel, dataframes, matplotlib, dashboards. Built pipelines using matplotlib. participated in hackathons."
E0192,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, typescript. Built apis using html. strong communication."
E0193,ML Engineer,"ML Engineer with 3 years experience. Skills: , ml, sklearn, tensorflow, pytorch, nlp. Built apis using sklearn. worked in a college project."
E0194,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, , dashboards, pandas, matplotlib. Built models using sql. strong communication."
E0195,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, excel, matplotlib. Built models using matplotlib. participated in hackathons."
E0196,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, redux. Built models using redux. participated in hackathons."
E0197,ML Engineer,"ML Engineer with 4 years experience. Skills: python, ml, scikit-learn, pytorch, nlp, tensorflow. Built models using python. passionate about learning."
E0198,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: , aws, ci/cd, docker, iac, kubernetes. Built apis using docker. quick learner."
E0199,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, , html, typescript, redux, css. Built web apps using redux. worked in a college project."
